restaurantName,address,city,postalCode,country,priceRange,cuisineType,description,facilitiesServices,creditCards,phoneNumber,website,region,lat,lon
O Me O Il Mare,Via Roma 45/47,Gragnano,80054,Italy,€€€€,"ItalianContemporary,ModernCuisine","After many years’ experience in Michelin-starred restaurants, Luigi Tramontano and his wife Nicoletta have opened their first restaurant in the chef’s native Gargnano. Previously a pasta factory, the building has been converted into an elegant, contemporary-style restaurant which has nonetheless retained its charming high ceilings. The cuisine is inspired by regional traditions which are reinterpreted to create gourmet dishes, all prepared with respect for the ingredients used and a strong focus on local produce.","['Air conditioning', 'Interesting wine list', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 081 620 0550,http://omeoilmare.com,Campania,40.6897428,14.5210102
Palazzo Utini,via Antonio Gramsci 6,Noceto,43015,Italy,€€€€,"Creative,Contemporary","This historic building in the town centre has been brought back to life by the family of local entrepreneurs who bought it years ago and who have given the restaurant their name. Now an exclusive food venue just a stone’s throw from the capital of the “Food Valley” region, Palazzo Utini is home to a bar and bistro on its ground floor, while the first floor is occupied by the gourmet restaurant overseen by chef Enrico Bartolini and run by resident chef Roberto Monopoli who has plenty of culinary experience behind him. Guests can choose individual dishes from the tasting menus à la carte style, plus there’s an extensive wine list. We particularly enjoyed the exquisite turbot saltimbocca and the onion, black cherry and Lambrusco dessert. On the upper floors, elegant and intimate guestrooms are decorated in the same reassuring style as the rest of the building.","['Air conditioning', 'Interesting wine list', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0521 152 1001,https://palazzoutini.com,Emilia-Romagna,44.8100732,10.1772212
Sa Domu Sarda,via Sassari 51,Cagliari,9124,Italy,€€,Sardinian,"Despite being an island, Sardinia’s traditional cuisine tends to focus on meat dishes, and you’ll find some of its best-known specialities served at this restaurant, with its simple dining rooms and typical local décor. Enjoy evocatively named dishes such as “sitzigorrus cun bagna” (snails in a tomato sauce), Bue Rosso “bombas” (meat balls), delicious Sardinian pastas such as “malloreddus”, “culurgiones” and “fregula”, stews, casseroles and meat fillets, as well as the famous “sebadas” and “su pappai biancu” (a type of blancmange) desserts.","['Air conditioning', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 070 653400,https://www.osteriasadomusarda.it/,Sardinia,39.2152268,9.1106174
Soul & Fish,via Marina Grande,Sorrento,80067,Italy,€€€,Seafood,"From the centre of Sorrento, you follow a succession of roads downhill to Marina Grande, the town’s old, picturesque fishing village that is well worth a visit. Here, facing the water, you’ll find Soul & Fish, a seemingly traditional seaside restaurant that actually serves superb fish and seafood on a menu that combines traditional dishes with more creative options.",['Terrace'],"['Amex', 'Mastercard', 'Visa']",+39 081 878 2170,https://www.soulandfish.com/,Campania,40.62711,14.3751883
Bàcaro Il Gusto,via Provinciale Nord 30,Fossò,30030,Italy,€€,Venetian,"A simple, modern restaurant where all the attention is focused on the extraordinary skills of the chef. The name is a nod to the typical Venetian bars known asbacari, and, in keeping with them, the restaurant serves a range of snacks, both traditional and creative in style, which allow the chef to demonstrate his culinary skills to the full. Other classic and more imaginative dishes also feature on the menu, alongside a choice of excellent desserts.","['Air conditioning', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 041 517 0035,https://www.ristorantebacaroilgusto.it,Veneto,45.3858643,12.0482008
Casa Rispoli,piazza san Francesco 7,Cava de' Tirreni,84013,Italy,€€,ModernCuisine,"Overlooking a piazza surrounded by picturesque arcades in the historic centre (a walk around this district is highly recommended), this restaurant run by the Rispoli family continues to uphold its fine-dining traditions. Although a few meat dishes feature on the menu, it is its fish options (mainly traditional, such as tuna with mussels and escabeche-style aubergine) and occasionally imaginative desserts, such as the cheesecake with toffee and raspberry, that are the main attraction here.","['Air conditioning', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 089 995 1261,http://www.casarispoli.it,Campania,40.7005722,14.7061621
Castello di Fighine,borgo di Fighine,San Casciano dei Bagni,53040,Italy,€€€,Contemporary,"A dirt track leads to this magical setting – an 11C castle perched among the Tuscan hills which is now privately owned and has been restored and renovated over the past 15 years. Situated in the hamlet surrounding the castle, the restaurant boasts a beautiful terrace shaded by wisteria where meals are served in fine weather. In the kitchen, the successful partnership between new resident chef Francesco Nunziata and three-starred Michelin chef Heinz Beck is immediately obvious. Two apartments are available in Casa Parretti for anyone wishing to prolong their stay here.","['Air conditioning', 'Car park', 'Garden or park', 'Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0578 56158,https://www.fighine.it/it/ristorante.html,Tuscany,42.8712425,11.8752504
Eea,via Umberto I,Ponza,4027,Italy,€€€,"Seafood,MediterraneanCuisine","Named after the Ancient Greek name for Ponza, this restaurant is situated above the port and boasts fine views of the island’s picturesque houses and rugged coastline from its terrace. With an almost exclusive focus on fish and seafood, the menu features a balance of creative and more traditional dishes.","['Air conditioning', 'Great view', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 338 445 6849,https://www.mondoeea.it,Lazio,40.8945196,12.9663633
La Brughiera,via XXIV Maggio 23,Senago,20030,Italy,€€,"Lombardian,TraditionalCuisine",This old farmhouse in the Groane Regional Park has never lost its warm family atmosphere. The interior is spacious and attractive and the menus are based on traditional and national specialities.,"['Air conditioning', 'Car park', 'Garden or park', 'Interesting wine list', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 02 998 2113,https://www.labrughiera.it,Lombardy,45.5752368,9.117439
Locanda delle Tre Chiavi,via Vannetti 8,Isera,38060,Italy,€,"RegionalCuisine,SeasonalCuisine","This restaurant housed in an 18C building is run by its talented and enthusiastic owners Sergio (front of house) and Annarita (in the kitchen), who do their utmost to provide guests with the best seasonal, regional ingredients prepared in classic dishes full of flavour. The wine list focuses on good-quality labels from the region.","['Car park', 'Terrace']","['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 348 402 0857,http://www.locandadelletrechiavi.it,Trentino-South Tyrol,45.8869739,11.0083396
Musciora,via Mazzini 59,Alghero,7041,Italy,€€€,"Sardinian,ModernCuisine","Located not far from the town centre, this restaurant offers friendly, professional service and three tasting menus including the particularly appealing 8-course “La vera esperienza Musciora”. The dishes here pay tribute to Sardinia’s culinary traditions, while the ingredients are all sourced from the region, as are most of the wines. Highlights include the cuttlefish, potato and pea, and the Su Filindeu pasta (served in a seafood broth).","['Air conditioning', 'Interesting wine list', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 079 973 7519,https://musciora.it/,Sardinia,40.5464537,8.3277848
Osteria Mercato,piazza Capucci 9,Stresa,28838,Italy,€€,"ItalianContemporary,Contemporary","The anonymous location of this restaurant in a car park just a stone’s throw from the historic centre is more than compensated by its lively and welcoming atmosphere. Attractive outdoor area, plus Italian cuisine reinterpreted with a creative twist.","['Air conditioning', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0323 346245,https://osteriamercatostresa.com/,Piedmont,45.883917,8.5408506
Quintogusto,piazza Sandro Pertini 54 r,Savona,17100,Italy,€€,"Contemporary,MediterraneanCuisine","Recently opened in the renovated section of Corso Italia in central Savona, Quintogusto is a small, contemporary and minimalist-style restaurant occupying one side of the former hospital. Here, the owner-chef (once sous-chef at the excellent Michelin-starred Il Vescovado in Noli) cements his reputation with Ligurian-influenced cuisine to which he adds his own modern and imaginative touches.","['Air conditioning', 'Terrace', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 019 770 2870,https://ristorantequintogusto.com/,Liguria,44.3074889,8.4811294
Torre del Saracino,via Torretta 9,Vico Equense,80069,Italy,€€€€,Creative,"From the coast road you take a series of hairpin bends down to Marina di Equa, the beach at Vico, where you will see this old fortified tower standing just a few metres from the sea. In the tower itself, with music playing in the background, guests can savour an aperitif accompanied by an extraordinary selection of imaginative antipasti that offer an introduction to the excellent cuisine that awaits. From here, you move into one of two dining elegant dining rooms decorated in vintage 1970s style which look out at Vesuvius and the Bay of Naples – the setting for a meal that will linger long in the memory. Gennaro Esposito is one of the best chefs in Campania, creating beautifully presented dishes of meat and fish (often in the same dish) that are not only delicious but also full of the colour and vitality of his region.","['Air conditioning', 'Car park', 'Interesting wine list', 'Terrace']","['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 081 802 8555,https://www.torredelsaracino.it/,Campania,40.6629487,14.427733
Verbano,"via Ugo Ara 2, Isola dei Pescatori",Stresa,28838,Italy,€€€,"Italian,MediterraneanCuisine","Within the confines of the small, charming Verbano hotel on the beautiful island of Pescatori, chef Marco Sacco serves top-quality cuisine in what can only be described as a stunning setting. The contemporary-style dining room boasts panoramic windows, while the outdoor terrace with its views of Palazzo Borromeo and Isola Bella is the perfect setting for dinner in fine weather.","['Air conditioning', 'Great view', 'Restaurant offering vegetarian menus', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0323 31226,https://ilverbano.com/,Piedmont,45.883917,8.5408506
Café Les Paillotes,piazza Le Laudi 2,Pescara,65129,Italy,€€€,"ModernCuisine,Seafood","This old acquaintance of the Michelin Guide now has a new chef at the helm! Although the decor and furnishings remain the same with a slightly old-fashioned feel, the cuisine is modern yet with no unnecessary frills and has a fresh and generous flavour. Highlights on the menu include the new raw fish options, which have an entire tasting menu to themselves. The well-stocked wine cellar is home to around 500 labels which offer good value for money.","['Air conditioning', 'Interesting wine list', 'Restaurant offering vegetarian menus', 'Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 085 61809,https://www.lespaillotes.it/,Abruzzo,42.4641173,14.2143544
Ristorante de LEN,Via Cesare Battisti 66,Cortina d'Ampezzo,32043,Italy,€€,RegionalCuisine,"Just a stone’s throw from the central and very busy Corso Italia, this restaurant has an elegant Alpine feel. Here, subtle lighting, soft background music and larch wood cladding on the walls create an ambience with an attractive blend of the modern and traditional. The cuisine takes inspiration from the local region, with specialities interpreted with a contemporary twist, including a focus on vegetable- and cheese-based dishes such as the excellent “fonduta di Saporito d'alpeggio” (fondue).",['Wheelchair access'],"['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0436 4246,https://hoteldelen.it,Veneto,46.5366396,12.1384911
4 Ciance,via Dronero 8/c,Cuneo,12100,Italy,€€,"Piedmontese,ModernCuisine","This restaurant in Cuneo’s historic centre boasts two bright dining rooms, as well as friendly and professional female staff and dishes prepared by two chefs that are a feast for the eyes and the palate! The cuisine here is rooted in tradition, and is prepared with skill, enthusiasm and the occasional contemporary touch. There are two tasting menus from which individual dishes can be chosen, plus a daily special (that varies according to market availability) announced at your table. Meat takes pride of place, as is typical in Piedmont, although a few fish and seafood options also feature.","['Terrace', 'Wheelchair access']","['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 0171 489027,https://www.4cianceristorante.it/,Piedmont,44.3932959,7.5512277
Andreina,via Buffolareccia 14,Loreto,60025,Italy,€€€,"ModernCuisine,MeatsandGrills","Sixty years after this restaurant was opened by his grandmother Andreina, Errico Recanati continues to add his own distinctive mark to the family business. Following the complete renovation of the farmhouse interior, the dining rooms are even more elegant and welcoming than before. Here, the excellent staff offer attentive and discreet service, while the cuisine, rooted in local traditions, focuses especially on game and grilled dishes. The only features that have survived in the dining room are the grill and the fireplace! Recanati’s distinctive style makes full use of fire, charcoal embers and the afore-mentioned grill and spit: he is a real expert in the latter, enabling delightful grilled flavours and aromas to make their way into most of his dishes, which he often personalises by adding fruit and vegetables from his own garden. All of this contributes to what the chef himself describes as his “neo-rural” style of cuisine, which is beautifully illuminated by new lamps arranged on the tables with the precision of a stage set.","['Air conditioning', 'Car park', 'Interesting wine list', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 071 970124,https://www.ristoranteandreina.it/,Marche,43.4400166,13.6065286
Antica Osteria La Rampina,"via Emilia fraz. Rampina 3

ang. via Rocca Brivio",San Giuliano Milanese,20098,Italy,€€€,"Lombardian,Contemporary","It is said that General Radetzky, fleeing from the city during the Five Days of Milan rebellion, camped his troops right in front of La Rampina’s courtyard. Surrounded by nature and full of fascinating history, the restaurant now makes an ideal spot in which to enjoy the various culinary options served by Lino and his young son Luca, which offer a careful balance of local traditional flavour and skilful innovation.","['Air conditioning', 'Car park', 'Interesting wine list', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 02 983 3273,https://rampina.it/,Lombardy,45.4001762,9.284944
Buca di Sant'Antonio,via della Cervia 3,Lucca,55100,Italy,€€,"Tuscan,ClassicCuisine","Just a stone’s throw from Piazza San Michele, in the heart of the beautiful historic centre of Lucca, the Buca di Sant'Antonio is one of the city’s oldest restaurants. Specialising in traditional Tuscan cuisine, the main courses here focus almost entirely on meat dishes. The old copper pots and pans that hang from the ceiling add to the homely atmosphere.","['Air conditioning', 'Interesting wine list', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0583 55881,https://www.bucadisantantonio.com/,Tuscany,43.8442458,10.5015454
Buriani dal 1967,via Matteotti 66,Pieve di Cento,40066,Italy,€€,"Italian,ModernCuisine","A family-run restaurant in the province of Bologna with an excellent reputation for good food. Whether you choose one of the fish-based recipes or meat dishes, you’ll enjoy cuisine with a balance of classic flavours and modern influences, including a few regional specialities.","['Air conditioning', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 051 975177,https://www.ristoranteburiani.com/,Emilia-Romagna,44.7136271,11.3070035
Da Gerry,via Chiesa 6,Monfumo,31010,Italy,€€,ClassicCuisine,"At this centrally located, contemporary - style trattoria sample local dishes, and much more besides. It also offers excellent accommodation. The Da Gerry’s bedrooms are both comfortable and spacious.","['Air conditioning', 'Terrace', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 0423 945750,https://www.ristorantedagerry.com/,Veneto,45.8305713,11.9213811
l' Ciocio - Osteria di Suvereto,piazza dei Giudici 1,Suvereto,57028,Italy,€€,"ModernCuisine,Tuscan","Although this restaurant in the historic centre of Suvereto has the welcoming ambience of a traditional trattoria, its cuisine is more creative and elaborate in style (while still offering a few Tuscan classics). One of the house favourites is the “reale familiare”: a delicious cut of beef served with capers and anchovies.","['Terrace', 'Wheelchair access']","['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 0565 829947,https://www.osteriadisuvereto.it/,Tuscany,43.0790658,10.6791738
L'Osteria H20,via Pergola 10,Moniga del Garda,25080,Italy,€€€,Creative,"This bright, minimalist - style restaurant is situated on the road but its dining room faces the lake. It serves imaginative and personalised cuisine with both fish and meat dishes on the menu.","['Air conditioning', 'Car park', 'Great view', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0365 503225,https://www.losteriah2o.it,Lombardy,45.5289937,10.5376348
La Magnolia,viale Morin 46,Forte dei Marmi,55042,Italy,€€€€,ModernCuisine,"Housed within the Lord Byron hotel, one of Forte del Marmi’s best hotels, this restaurant serves technically skilful and sophisticated cuisine which is striking and beautifully presented. The menu features meat and fish dishes with local and international influences, as well as a strong flavour of Campania, the chef’s native region. The excellent bread deserves a particular mention.","['Air conditioning', 'Car park', 'Garden or park', 'Interesting wine list']","['Amex', 'Dinersclub', 'Maestrocard', 'Mastercard', 'Visa']",+39 0584 787052,https://www.lamagnoliaristorante.com/it/,Tuscany,43.9601821,10.1667111
Le Case della Saracca,via Cavour 5,Monforte d'Alba,12065,Italy,€€,"Piedmontese,Italian","Situated in the delightful Saracca district (Monforte’s old historic centre), this restaurant occupies an old, restored house with a glass and steel decor that provides a harmonious contrast with the building’s original features. Tables are arranged on different levels connected by a series of vertiginous staircases. Quiet and intimate, the restaurant serves a dual purpose: there’s a wine bar for aperitifs, while the dining room provides the backdrop for dishes from the region and further afield. Superb wine list with various labels available by the glass, plus guestrooms that offer the chance to spend the night in this unique setting.",['Interesting wine list'],"['Amex', 'Mastercard', 'Visa']",+39 0173 789222,https://www.saracca.com/,Piedmont,44.5823416,7.9683934
Osteria da Afro,via Umberto I 14,Spilimbergo,33097,Italy,€€,"RegionalCuisine,Countrycooking","An expertly run family restaurant not far from the historic centre. Warm atmosphere in the two dining rooms (especially the one with the fireplace), where the daily specials are marked on a blackboard. A real gem of restaurant, which also has a few charming guestrooms furnished in fir and cherry wood.","['Air conditioning', 'Car park', 'Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0427 2264,https://www.osteriadaafro.com/,Friuli-Venezia Giulia,46.1122448,12.9057541
Osteria Il Bagatto,via XX Settembre 16,Limone Piemonte,12015,Italy,€€,ModernCuisine,"In a typical mountain - style ambience, enjoy carefully prepared cuisine made by a skilful chef using the best ingredients. The menu includes a good choice of regional specialities, as well as fish dishes and imaginative contemporary fare.",['Terrace'],"['Amex', 'Mastercard', 'Visa']",+39 0171 927543,https://www.releven11.it/,Piedmont,44.2013522,7.5760457
Osteria Vecchio Borgo,via Dronero 8/b,Cuneo,12100,Italy,€€,Countrycooking,"Described as a “meeting point between Piedmont and Liguria”, this quiet, welcoming restaurant in the historic centre of Cuneo focuses on ingredients and recipes from these two regions – the family, all of whom are involved in the restaurant (the women in the kitchen and the men front of house), are from Liguria. The generous, top-quality cuisine is prepared using seasonal produce with a personalised touch and is accompanied by a good selection of wine, also available by the glass.",['Wheelchair access'],"['Amex', 'Mastercard', 'Visa']",+39 0171 950609,https://www.osteriavecchioborgo.com/,Piedmont,44.3932959,7.5512277
Tantris,corso Risorgimento 384,Novara,28100,Italy,€€€,Creative,"A single elegant room for a menu that is an invitation to a gastronomic journey with Marta Grassi: at Tantris you’ll find local references, but the offering is essentially creative and freely interprets the products of the region and more besides. Excellent choice of wines.","['Air conditioning', 'Wheelchair access']","['Maestrocard', 'Mastercard', 'Visa']",+39 0321 657343,https://www.tantrisristorante.com/,Piedmont,45.4458504,8.621948
Angelo Sabatelli,via Santa Chiara 1,Putignano,70017,Italy,€€€,"Countrycooking,AsianInfluences","A talented and brilliant chef is at the helm in this restaurant in the town’s historic centre, where elegant, contemporary-style dining rooms provide the backdrop for technical cuisine that showcases local produce with the occasional added Asian flavour. A visit to the large, well-stocked wine cellar is highly recommended (there’s an excellent selection of sparkling wines and champagnes), where a couple of beautiful tables are used for tasting and private dinners.","['Air conditioning', 'Interesting wine list', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 080 405 2733,http://www.angelosabatelliristorante.com,Apulia,40.8497063,17.1204885
Casa Format,via Tetti Valfrè,Orbassano,10043,Italy,€€,"ModernCuisine,Countrycooking","A sustainable complex, the vegetable garden and a lot of passion are the elements that distinguish this high-quality restaurant. The modern building is characterized by very large windows that make the most of solar energy. The cuisine is authentic, tasty and with original ideas: the ice cream whipped with a Carpigiani machine before service is a delicious example.","['Air conditioning', 'Car park', 'Restaurant offering vegetarian menus', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 011 903 5436,https://credenzagroup.it/locali/ristorto-casa-format/,Piedmont,45.0070492,7.5369689
Castello,via Cagna 4,Santa Vittoria d'Alba,12069,Italy,€€,ModernCuisine,"This restaurant offers several different options in which to enjoy its delicious meat and fish dishes with a modern twist. In summer, the beautiful veranda with views of the hills and surrounding countryside offers alfresco dining, while in winter the bright, modern dining room is a perfect setting for your meal.","['Car park', 'Garden or park', 'Great view', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0172 478198,https://www.ristorantecastellodisantavittoria.it/,Piedmont,44.6964873,7.933231
Fiorentino e Locanda del Giglio,via Luca Pacioli 60,Sansepolcro,52037,Italy,€,"Tuscan,TraditionalCuisine","Just like the beautiful centre of Sansepolcro in which it is situated, this restaurant has much to boast about, with a history dating back over 200 years. The beautifully decorated dining rooms on the first floor of the palazzo are a picture of elegance, while the service is friendly and more informal. Traditional cuisine from inland Tuscany, plus welcoming guestrooms which add to its appeal.",['Air conditioning'],"['Maestrocard', 'Mastercard', 'Visa']",+39 0575 742033,https://www.ristorantefiorentino.it/,Tuscany,43.5709738,12.1416789
Foresta,strada de la Comunità de Fiem 42,Moena,38035,Italy,€€,"RegionalCuisine,ClassicCuisine","Situated in front of a dense fir wood, this restaurant comes as something of a surprise. The dishes are prepared with genuine local ingredients, resulting in food that is full of flavour. Don’t get up from the table without having tasted the pappardelle pasta with mushrooms and speck ham or the fillet of venison with a redcurrant sauce.","['Car park', 'Interesting wine list']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0462 573260,http://www.hotelforesta.it,Trentino-South Tyrol,46.3766192,11.6597354
